name,area,employer,salary_from,salary_to,currency,description,specialization,profarea,schedule,experience
Офис-менеджер,Бишкек,360.tech,20000,30000,KGS,"<p>Мы ищем специалиста с опытом работы не менее 1 года на позиции офис-менеджера для того, чтобы он заботился об офисе и мог расти вместе с нами)</p> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li>Поддерживать порядок в офисе;</li> <li>Закупать канцтовары и все необходимое для нужд офиса;</li> <li>Вести полное кадровое делопроизводство;</li> <li>Организация различных мероприятий;</li> <li>Другие поручения Руководителя HR.</li> </ul> <p> </p> <p><strong>Что мы ждем от вас:</strong></p> <ul> <li>Опыт работы на аналогичной позиции от 1 года;</li> <li>Бизнес-ориентированное мышление, системность, высокий уровень самоорганизации;</li> <li>Высокий уровень развития коммуникативных и организаторских навыков;</li> <li>На “ты” с ПК и офисными программами;</li> <li>Внимательность к деталям;</li> <li>Доброжелательность и желание помогать людям.</li> </ul> <p> </p> <p><strong>Что мы предлагаем:</strong></p> <ul> <li>Конкурентную оплату труда и готовы обсудить ваши ожидания;</li> <li>Молодой и дружный коллектив;</li> <li>Даем возможность раскрыться, как человеку, так и специалисту;</li> <li>Развитую корпоративную культуру;</li> <li>Комфортный офис в центре города (ТЦ ГУМ);</li> <li>Возможность непрерывного совершенствования и развития профессиональных навыков;</li> <li>Вилка 20 000с. - 30 000с.</li> </ul>",Управляющий офисом (Оffice manager),Административный персонал,Полный день,От 1 года до 3 лет
Сотрудник на оптовый склад (Дордой),Бишкек,KORSHOP,18000,25000,KGS,"<strong>Обязанности:</strong> <ul> <li>Сборка и комплектация заказов<br />Приемка, перемещение и отгрузка товара</li> </ul> <strong>Требования:</strong> <ul> <li>Мы ждем в своей действительно дружной команде:<br />Энергичных и инициативных сотрудников, готовых к активному физическому труду</li> </ul> <strong>Условия:</strong> <ul> <li>на постоянную работу с 8-00 до 16-00, 6/1</li> <li>Только первый месяц испытательный срок 18000 тыс</li> </ul>",Грузчик,Рабочий персонал,Полный день,Нет опыта
Ведущий бухгалтер учета производства,Бишкек,Тасмин Корпорейшн,25000,60000,KGS,"<strong>Обязанности:</strong> <ul> <li>Учет поступления материалов, сырья.</li> <li>Учет расчетов с поставщиками/подрядчиками.</li> <li>Учет производства готовой продукции, формирование себестоимости выпущенной продукции.</li> <li>Учет перемещений сырья и материалов, полуфабрикатов по производственным участкам.</li> <li>Учет незавершенного производства.</li> <li>Учет общепроизводственных расходов.</li> <li>План-факторный анализ себестоимости выпущенных продукции, полуфабрикатов, работ, услуг.</li> <li>Контроль в синхронизации данных 1С Розница и 1С Бухгалтерия.</li> <li>Ведение документооборота первичных документов.</li> <li>Выполнение поручений руководителя</li> </ul> <strong>Требования:</strong> <ul> <li>Высшее образование (экономическое, бухгалтерское);</li> <li>Знание законодательства в сфере бухгалтерского учета, налогообложения (ОСНО), налогового и трудового законодательства КР;</li> <li>Знание всех участков бухгалтерского учета;</li> <li>Уверенные практические знания 1С 8.3 Бухгалтерия;</li> <li>Уверенный пользователь ПК:, Excel, Word, Консультант+;</li> <li>Самоорганизованность и самодисциплина;</li> <li>Коммуникабельность, внимательность, высокая ответственность;</li> <li>Умение работать в режиме многозадачности.</li> </ul> <strong>Условия:</strong> <ul> <li>График работы: 5/2</li> <li>Конкурентная заработная плата</li> <li>Корпоративные скидки на продукцию компании</li> <li>Увлекательная работа в современной компании;</li> <li>Дружная команда профессионалов.</li> </ul>",Бухгалтер,"Бухгалтерия, управленческий учет, финансы предприятия",Полный день,От 3 до 6 лет
Преподаватель географии,Бишкек,ЭРУДИТ – INTERNATIONAL SCHOOL OF INNOVATIVE TECHNOLOGIES (ISIT),35000,,KGS,"<ul> <li>Вам к нами если:<br />- Вы увлеченный педагог в постоянном поиске новых эффективных путей и методов преподавания.<br />- Хотите стабильно получать достойную оплату за отличную работу;<br />- Если Вы любите детей и получаете настоящее удовольствие от общения;<br />- Вы хотите поделиться своими знаниями выходящие за рамки образовательного стандарта и вам обязательно нужен результат;<br />- Хотите стать частью новаторского большого и успешного проекта, который позволит показать себя и удивить профессиональное сообщество страны.<br />• Вы профессионал своего дела и имеете документальное подтверждение своей квалификации (обязательно диплом о высшем / среднеспециальном образовании);<br />• Имеете опыт работы в школе от 3 лет;<br />• Работаете с использованием презентаций, компьютерных технологий, интерактивной доски;<br />• Умеете работать с разными возрастными группами (4 -11 класс), с разноуровневыми группами в мини классах;<br />• Несмотря на свой опыт работы Вы готовы вникнуть и разделять ценности и ментальные установки школы «ЭРУДИТ»: любовь к детям, уважение к коллегам, постоянное саморазвитие и повышение квалификации, обеспечение качества образования;<br />• Готовы планировать занятия с учетом современных образовательных методик (тематическое, поурочное, годовое планирование),<br />• Готовить учебную отчетность для администрации и для родителей за определенный период,<br />• уверенно пользоваться компьютером и электронным журналом</li> </ul>",Гуманитарные науки,"Наука, образование",Полный день,От 3 до 6 лет
Менеджер по продажам оборудования,Бишкек,ОсОО VEGAPLUS,30000,,KGS,"<p><strong>Обязанности:</strong></p> <p>Привлечение и обработка клиентов</p> <p>Встречи с клиентами, ведение переговоров</p> <p>Составление плана и отчета по продажам</p> <p>Выполнение KPI по продажам</p> <p><strong>Требования:</strong></p> <p>знание техники продаж</p> <p>уверенное пользование ПК и программ MS Office</p> <p>грамотная устная и письменная речь</p> <p>ответственность, коммуникабельность</p> <p>нацеленность на результат, желание развиваться</p> <p><strong>Условия:</strong></p> <p>фиксированная зарплата + % с продаж</p> <p>График работы с 09:00 до 17:30</p> <p>Современный, комфортный офис</p>",Прямые продажи,Продажи,Полный день,От 1 года до 3 лет
Финансовый аналитик,Бишкек,Кумуков Исса Кельдимуратович,800,1500,USD,"<strong>Обязанности:</strong> <ul> <li>консолидация и анализ финансовых данных (бюджетов, прогнозов отчета о прибылях и убытках и т.д.);</li> <li>формирование отчетности в разрезе юридических лиц, брендов, номенклатуры;</li> <li>формирование управленческого учета в Компании;</li> <li>план-фактный анализ;</li> <li>построение финансовых моделей;</li> <li>планирование и анализ денежного потока (CF);</li> <li>участие в процессе бюджетирования;</li> <li>контроль достоверности и полноты данных системы управленческого учета;</li> <li>автоматизация бизнес-процессов.</li> </ul> <strong>Требования:</strong> <ul> <li>высшее образование (финансы, экономика, бух учет);</li> <li>опыт работы финансовым аналитиков от 3-х лет;</li> <li>продвинутое знание Excel;</li> <li>опыт формирования отчетности, работы с планированием денежного потока;</li> <li>умение работать с большим объемом информации;</li> <li>знание/опыт составления управленческого баланса.</li> </ul> <strong>Условия:</strong> <ul> <li>работа в быстрорастущей компании;</li> <li>дружный коллектив;</li> <li>гибкий график работы;</li> <li>карьерный рост;</li> <li>работа напрямую с финансовым директором.</li> </ul>",Финансовый анализ,"Бухгалтерия, управленческий учет, финансы предприятия",Полный день,От 3 до 6 лет
Оператор входящих звонков,Бишкек,LUX,17000,37000,KGS,"<strong>Обязанности:</strong> <p>​​​​прием входящих звонков, работа с клиентами, работа с базой данных, оформление заявок, обращений, консультационная поддержка клиентов</p> <strong>Требования:</strong> <p>грамотная речь, уверенный пользователь ПК, ответственность, исполнительность</p> <strong>Условия:</strong> <p>​​​​восьмичасовой рабочий день, график &quot; плавающий&quot;, 5/2, обучение предусмотрено, оформлениек по ТК КР, оплачиваются больничные листы, оплачиваемый трудовой отпуск</p>",Розничная торговля,Продажи,Полный день,Нет опыта
Менеджер отдела корпоративных продаж,Бишкек,Холдинг ОсОО Inter Alliance (Интер Альянс),15000,70000,KGS,"<strong>Обязанности:</strong> <ul> <li>продажа бытовой и компьютерной техники и не только ведущих мировых производителей;</li> <li>продажа систем вентиляции и кондиционирования, видеонаблюдения и систем СУРВ</li> <li>разработка правильного построения рекламной кампании;</li> <li>участие в еженедельных брифингах для планирования задач и подведения итогов.</li> </ul> <strong>Требования:</strong> <ul> <li>кто готов обучаться и превратить себя в крутого специалиста;</li> <li>кто ценит системность в работе, пунктуальность и ответственность, владение ПК;</li> <li>у кого есть инициативность и желание находить решение в меняющейся ситуации;</li> </ul> <strong>Условия:</strong> <ul> <li>большое преимущество — обучение знаниям системы продажи, контроля и мотивации сотрудников, сущности бизнес-процессов в компании;</li> <li>офис в самом центре города;</li> <li>возможность зарабатывать;</li> <li>график работы 6/1;</li> </ul>",Прямые продажи,Продажи,Полный день,Нет опыта
Воспитатель средней группы,Бишкек,Junior kids,25000,,KGS,<p><strong>Обязанности:</strong></p> <p>- проведение занятий согласно расписанию</p> <p>- подготовка и проведение утренников</p> <p>- соблюдение распорядка дня детей</p> <p><strong>Требования:</strong></p> <p>- педагогическое или психологическое образование.<br />- наличие медицинской книжки<br />- уметь легко находить контакт с детьми и родителями<br />- ответственное отношение к работе</p> <p><br /><strong>Условия</strong></p> <p>- График работы:5/2 с 8.00-18.30<br />- Своевременная оплата труда<br />- Выплата отпускного пособия</p>,"Воспитатель, Гувернантка/гувернёр, Няня",Домашний персонал,Полный день,От 3 до 6 лет
Кредитный специалист МСБ,Бишкек,ОсОО МКК А.Г.А.Инвест,20000,40000,KGS,"<strong>Обязанности:</strong> <ul> <li>Проводить фин анализ по стандартам ЕБРР</li> </ul> <strong>Требования:</strong> <ul> <li> <p><em>Высшее, средне-специальное образование</em></p> </li> <li> <p><em>Опыт работы в ФКО от 6 месяцев</em></p> </li> <li> <p><em><strong>Умение проводить финансовый анализ по ЕБРР</strong></em></p> </li> <li> <p><em>Опытный пользователь ПК (</em><em>MS</em><em> </em><em>Excel</em><em>, </em><em>MS</em><em> </em><em>Word</em><em>)</em></p> </li> </ul> <strong>Условия:</strong> <ul> <li> <p><strong><em>Заработная плата 20 000 - 40 000 </em></strong><strong><em>KGS</em></strong><strong><em> + премиальные</em></strong></p> </li> <li> <p><em>Комфортные условия для работы</em></p> </li> <li> <p><em>Обучение и повышение квалификации</em></p> </li> <li> <p><em>Карьера и рост доходов</em></p> </li> </ul>",Привлечение клиентов,"Банки, инвестиции, лизинг",Полный день,От 1 года до 3 лет
Диспетчер-логист,Бишкек,Юниселл - мебельные салоны Азбука Дома,30000,45000,KGS,"<p><em>Компания &quot;Азбука Дома&quot; приглашает на работу <strong>диспетчера-логиста.</strong></em></p> <p><em>Компания занимается реализацией мебели от А до Я от лучших производителей из России и Белоруссии!</em><br /><em>Наша цель - создавать комфортные условия для счастливой жизни людей, с любовью, как для себя!</em></p> <p> </p> <p><strong>Каким мы видим нашего коллегу:</strong><br />Наш будущий коллега готов отвечать за свой результат работы, имеет аналитические и организаторские способности, доброжелательно относится к людям, коммуникабельный, обладает стрессоустойчивостью.</p> <p>Также желательно, если у нашего будущего коллеги профильное образование по специальности «Логистика» и есть опыт работы на аналогичной должности не менее 1 года.</p> <p> </p> <p><strong>Чем нужно будет заниматься:</strong></p> <p>- Организовывать доставку товара;</p> <p>- Разрабатывать выгодную схему доставок в нужное место к нужному времени;</p> <p>- Координировать действия сборки-доставки;</p> <p>- Согласовывать планы доставок с отделом продаж и со складом;</p> <p>- Подготавливать документы, обеспечивающие поставку товара в пункт назначения.</p> <p> </p> <p><strong>Мы предлагаем:</strong></p> <p>- Трудоустройство согласно ТК КР;<br />- График работы: 6/1 с 09:00 до 19:00;</p> <p>- Работа в дружной команде;<br />- Возможности для карьерного роста.</p>",Автоперевозки,"Транспорт, логистика",Полный день,От 1 года до 3 лет
Продавец-консультант,Бишкек,ЧП Чоюбекова А.Ч.,25000,35000,KGS,"<p>Требуется сотрудник с опытом продавца-консультант</p> <p> </p> <p><strong>Обязанности:</strong></p> <ul> <li>Офисная деятельность</li> <li>Консультация клиентам и первичной документацией</li> </ul> <strong>Требования:</strong> <ul> <li>Ответственность Пунктуальность</li> <li>Пунктуальность Мобильность</li> </ul> <strong>Условия:</strong> <ul> <li>Гибкий график 5/2 , свободный</li> <li>Работа в команде</li> </ul>",Розничная торговля,Продажи,Полный день,От 1 года до 3 лет
Управляющий рестораном,Бишкек,Холдинг ОсОО Inter Alliance (Интер Альянс),25000,70000,KGS,"<strong>Обязанности:</strong> <ul> <li>Управление рестораном</li> <li>Обеспечение своевременных поставок продуктов, согласно заявкам кухни заведения.</li> <li>Контроль за качеством и количеством тех продуктов, которые приобретаются рестораном для приготовления предлагаемых клиентам блюд.</li> <li>Обеспечение поставок необходимых для нормального функционирования ресторана товаров (салфеток, скатертей и пр.)</li> <li>Контроль за чистотой посуды, предметов интерьера и пр.</li> <li>Контроль за составлением актуального меню.</li> <li>Наблюдение за наличием необходимых сертификатов и других документов для приобретаемых заведением продуктов, товаров и услуг.</li> <li>Контроль за наличием предлагаемых клиентам алкогольных напитков и обеспечение их качества.</li> <li>Обеспечение высокого качества обслуживания посетителей, в том числе путем проверки их просьб и жалоб.</li> <li>Наём официантов, поваров и других работников.</li> </ul> <strong>Требования:</strong> <ul> <li>основы финансов, с учетом специфики ресторанной деятельности;</li> <li>основы управления персоналом заведения;</li> <li>технологии продаж питания и дополнительных ресторанных услуг;</li> <li>организация работы дополнительных сервисов ресторана, таких как продажа блюд на вынос или проведение торжественных мероприятий;</li> <li>организация документооборота в сфере функционирования ресторана;</li> <li>нормы обслуживания клиентов ресторана;</li> <li>профилактика и разрешение конфликтных ситуаций с посетителями;</li> <li>нормы составления меню, в том числе тематических и диетических;</li> <li>организацию снабжения кухни продуктами, необходимыми для приготовления ресторанных блюд;</li> <li>нормы ценовой политики заведения, в том числе касающиеся алкогольных напитков;</li> <li>современный успешный опыт обслуживания посетителей в лидерах отрасли;</li> <li>нормы инвентаризации ценностей заведения;</li> </ul> <strong>Условия:</strong> <ul> <li>ненормированный график работы</li> </ul>",Банкеты,"Туризм, гостиницы, рестораны",Полный день,От 1 года до 3 лет
Менеджер по продажам,Бишкек,ПК BIGSER,20000,60000,KGS,"<p><strong>Обязанности</strong></p> <p>-Открытие/ закрытие магазина</p> <p>-Кассовая дисциплина</p> <p>-Умеющие продавать через текст</p> <p>- Навыки обзвона холодных звонков</p> <p>-Опыт работы в сфере продаж от 1-го года</p> <p>-Продажи, кросселы, апселы</p> <p> </p> <p><strong>Требования:</strong></p> <p>- Позитивная</p> <p>- Мобильная</p> <p>- Ответственная</p> <p>- Коммуникабельная</p> <strong>Условия:</strong> <p>- отличный график<br />- шикарное руководство<br />- конкурентная заработная плата (оклад+бонусы%)<br />- сотрудникам магазина предоставляется раз в полгода -<br />бесплатно спортивная одежда на выбор с магазина<br />- скидки на продукцию компании 50 % для сотрудников</p> <p>- компенсация проезда в 2 смене</p> <p> </p>",Прямые продажи,Продажи,Сменный график,От 1 года до 3 лет
Монтажник Отдела строительства магистральных линии с автотранспортом,Бишкек,ОсОО Акнет,16000,21000,KGS,"<p>Требования:</p> <p>* Принцип построения сетей связи.</p> <p>* Коммуникабельность,</p> <p>ответственность, стрессоустойчивость,</p> <p>уверенность в себе, пунктуальность.</p> <p>Должностные обязанности:</p> <p>* Осуществлять строительство сети, в</p> <p>пределах предоставляемых услуг.</p> <p>* Осуществлять решение технических</p> <p>проблем компании, в рамках своей</p> <p>компетенции.</p> <p>* Ведение документации по нарядам.</p> <p>Условия работы:</p> <p>* График работы : 8 часовой рабочий день, 5/2.</p> <p>* Вид оплаты: оклад.</p> <p>Все остальные условия более подробно</p> <p>оговариваются при собеседовании с</p> <p>руководителем.</p> <p> </p>",Строительство,"Строительство, недвижимость",Полный день,Нет опыта
Менеджер по продажам,Бишкек,PRO Недвижимость,50000,,RUR,"<p><strong>Обязанности:</strong></p> <p>Поиск вариантов для клиентов</p> <p>Выезды на показ</p> <p>Коммуникация с клиентами</p> <p>Осуществлять продажи</p> <p><strong>Требования:</strong></p> С опытом в сфере продаж или услуг <p>Коммуникабельные, ответственные, пунктуальные</p> <p><strong>Условия:</strong></p> <p>Полный рабочий день</p> <p>График 6/1; с 9:00 до 18:00</p> <p>Зп выдаётся сразу после сделки</p>",Прямые продажи,Продажи,Полный день,От 1 года до 3 лет
Учитель химии,Бишкек,Школа-гимназия # 33,20000,30000,KGS,<strong>Обязанности:</strong> <ul> <li>Организация внеурочной деятельности</li> <li>Преподавание химии и биологии</li> <li>Подготовка материалов к занятию</li> </ul> <strong>Требования</strong> <ul> <li>Педагогическое образование по специальности</li> <li>Доброжелательность и профессионализм</li> </ul>,Гуманитарные науки,"Наука, образование",Полный день,От 3 до 6 лет
Торговый представитель (город Бишкек),Бишкек,ТТГ,45000,,KGS,"<p><em>Дистрибьюторская компания по реализации горюче-смазочных материалов и автохимии ищет в свою команду <strong>Торгового Представителя по г. Бишкек (разъездной характер работы, ВЫПЛАТА ГСМ И АМОРТИЗАЦИИ, транспортное средство не предоставляем)</strong></em></p> <p><strong>Требования:</strong></p> <p>- опыт работы в сфере продаж от 1 года и выше (ТОЛЬКО С ОПЫТОМ РАБОТЫ)<br />- коммуникабельность, честность, ответственность<br />- образование средне-специальное/высшее/незаконч.высшее<br />- пол значения не имеет<em> <strong> </strong></em></p> <p><strong>Обязанности:</strong></p> <p>- поиск и привлечение клиентов, активные продажи;<br /><em>- работа с наработанными точками</em><br />- выполнение планов продаж;<br />- выполнение задач по мерчендайзингу;<br />- заполнение необходимой документации, регулярных форм отчетности;</p> <p><strong>Условия работы:</strong></p> <p><em><strong>-РАЗЪЕЗДНОЙ ХАРАКТЕР РАБОТЫ, транспортное средство НЕ предоставляем</strong><br /><strong>- ВЫПЛАТА ГСМ И АМОРТИЗАЦИИ</strong></em><br />- работа в успешной стабильной компании в команде профессионалов;<br />- мы предлагаем реальную зарплату, ее увеличение согласно Ваших способностей от 45000 сом на руки<br />- корпоративную сотовую связь<br />- график 6/1, 9.00 -18.00 (суббота короткий день до 14.00)</p>","FMCG, Товары народного потребления",Продажи,Полный день,От 1 года до 3 лет
Менеджер по продажам и работе с клиентами,Бишкек,ОсОО Планета Трейд Сервис,15000,60000,KGS,"<strong>Обязанности:</strong> <ul> <li>- Осуществление предупредительного и вежливого обслуживания покупателей<br />- Принятие мер по предотвращению и ликвидации конфликтных ситуаций<br />- Навыки активных продаж.<br />- Опыт работы в сфере продаж.<br />- Прием товара и поддержание его выкладки в торговых залах.<br />- Проведение презентаций и тренингов по новым продуктам и акциям компании.</li> </ul> <strong>Требования:</strong> <ul> <li>Знания:<br />• Высшее образование<br />• Знания правил и методов организации обслуживания покупателей<br />Личностные характеристики:<br />• Умение и желание обучаться<br />• Грамотная речь<br />• Умение анализировать полученную информацию<br />• Терпение<br />• Выдержка<br />• Кропотливость<br />• Ответственный подход к работе</li> </ul> <strong>Условия:</strong> <ul> <li>Средня зарплата от 30,000 сом. оклад-10,000+%<br />Рабочий график:<br />6 дней - с 8.30 до 19.00<br />Выходной – 1 день</li> <li>Во время испытательного срока оклад -15.000 сом</li> </ul>",Прямые продажи,Продажи,Полный день,От 1 года до 3 лет
Frontend-разработчик (VUE),Бишкек,Social Links,,4000,USD,"<p><strong>Привет!</strong></p> <p>В эпоху fake news и информационных войн Social Links восстанавливает доверие к данным. Мы создаем передовые инструменты для проведения анализа и расследований с использованием информации из социальных сетей, СМИ, даркнета и других открытых источников.</p> <p>Уже 7 лет мы на рынке и успели вырасти в компанию, продуктами которой пользуются организации по всему миру.<br />Сейчас мы ищем специалиста на должность Senior/Middle Frontend Developer. Его ключевой задачей станет развитие нашей аналитической SaaS-платформы, автоматизирующей работу специалистов по проведению расследований в области Open Source Intelligence (OSINT).</p> <p>Наш стек: Vue3, TypeScript, Vuex, Sigma, WebSocket, Leaflet, Handsontable, Tailwind, Primevue</p> <p><strong>Вам предстоит:</strong></p> <ul> <li> <p>Формирование технического видения продукта</p> </li> <li> <p>Участие в разработке архитектуры платформы</p> </li> <li> <p>Создание front-end компонент решения</p> </li> <li> <p>Модификация и расширение существующего функционала</p> </li> <li> <p>Проведение code review</p> </li> <li> <p>Написание документации</p> </li> <li> <p>Написание unit-тестов</p> </li> </ul> <p><strong>Мы ожидаем:</strong></p> <ul> <li> <p>Опыт создания и доработки web-сервисов от 2-х лет</p> </li> <li> <p>Уверенное знание JavaScript, Vue3, TypeScript</p> </li> <li> <p>Умение работать с WebSocket</p> </li> <li> <p>Знание HTML5 / CSS3, а также особенностей ихи отображения в различных браузерах</p> </li> <li> <p>Опыт визуализации данных</p> </li> <li> <p>Опыт отладки приложений и поиска ошибок</p> </li> <li> <p>Умение производить анализ и оценку поставленных задач, соблюдать согласованные сроки</p> </li> <li> <p>Умение документировать код и составлять техническую документацию</p> </li> <li> <p>Английский язык минимум Upper Intermediate (B2)</p> </li> </ul> <p><strong>Желательно:</strong></p> <ul> <li> <p>Sigma или опыт с WebGL</p> </li> <li> <p>Знание unit-тестов</p> </li> <li> <p>Опыт работы с большими объемами данных</p> </li> <li> <p>Понимание принципов одновременного взаимодействия пользователей в web-интерфейсе</p> </li> <li> <p>Интерес или проектный опыт в области data mining</p> </li> <li> <p>Vuex, Leaflet, Handsontable</p> </li> <li> <p>Опыт работы с CI/CD GitLab</p> </li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li> <p>Работу над продуктом, который позволяет делать мир лучше и безопаснее</p> </li> <li> <p>Оформление на юридическое лицо в Киргизии, последующая релокация из РФ (помогаем)</p> </li> <li> <p>Гибкий график, удаленную работу</p> </li> <li> <p>Молодой и дружный коллектив</p> </li> <li> <p>Опционную программу</p> </li> <li> <p>Возможность в будущем релоцироваться в США или Нидерланды</p> </li> </ul>","Программирование, Разработка","Информационные технологии, интернет, телеком",Гибкий график,От 3 до 6 лет
Кредитный администратор,Бишкек,ОсОО МКК КОРКИ КРЕДИТ,30000,35000,KGS,"<p><strong>Обязанности:</strong></p> <ul> <li>Проверка клиентов в базах Банка и КИБ;</li> <li>Выдача кредитов, оформление договоров в гос.органах;</li> <li>Формирование и хранение кредитных досье;</li> <li>Составление необходимых отчетов.</li> </ul> <p><strong>Требования:</strong></p> <p>- высшее образование</p> <p>- опыт работы в Отделе кредитного администрирования</p> <p>- умение оценить потребность в обучении</p> <p>- творческий подход к работе</p> <p>- знание ПК на уровне опытного пользователя</p> <p> </p> <p>- умение быстро учиться</p> <p>- умение работать в команде и самостоятельно</p> <p>- ответственность, исполнительность и стрессоустойчивость</p> <p><strong>Условия:</strong></p> <p> </p> <p>-Трудоустройство согласно ТК КР плюс полный соц.пакет;</p> <p>- Работа в центре города Бишкек</p> <p>-Повышение квалификации сотрудника</p> <p>-Дружная сплоченная команда</p>",Розничная торговля,Продажи,Полный день,От 1 года до 3 лет
Специалист по госзакупкам,Бишкек,ТПК Аман,25000,,KGS,"<strong>Обязанности:</strong> <ul> <li>поиск конкурсов на специализированных площадках;</li> <li>анализ объявления;</li> <li>поиск соответствующих товаров;</li> <li>формирование заявки для участия в конкурсе;</li> <li>переговоры с производителями;</li> <li>переговоры с закуп организацией;</li> <li>администрирование договора;</li> <li>строгое соблюдение всех установленных сроков.</li> </ul> <strong>Требования:</strong> <ul> <li>закон о госзакупках;</li> <li>умение анализировать объявленные процедуры;</li> <li>способность найти подходящие для участия конкурсы;</li> <li>знание русского, кыргызского, китайский обязательно.</li> <li>умение пользоваться оргтехникой;</li> <li>наличие базовых знаний в области экономики, налоги, юриспруденции.</li> </ul> <strong>Условия:</strong> <ul> <li>трудоустройство согласно ТК КР</li> <li>офис в центре</li> <li>бонусы от общей маржинальности.</li> </ul>",Розничная торговля,Продажи,Полный день,Нет опыта
Мастер цеха (корпусная мебель),Бишкек,West Tower Group,55000,,KGS,"<p>Приглашаем соискателей по конкурсу Мастер цеха (корпусной мебели).</p> <p>Мы приглашаем профессионала, который ориентирован на результат, а также хочет заниматься любимой и интересной работой, постоянно совершенствуясь в профессиональном и личностном плане!</p> <p> </p> <p>Требования</p> <ul> <li>От 6 лет</li> <li>Опыт по изготовлению мебели от 5лет;</li> <li>Опыт работы на производстве;</li> <li>Опыт работы на станках;</li> <li>Ответственность, умение работать в команде, способность принимать самостоятельные взвешенные решения;</li> <li>Навыки управления персоналом.</li> </ul> <p> </p> <p>Обязанности</p> <ul> <li>Руководство участком производства, планирование работы участка в целом, постановка задач сотрудникам и контроль исполнения;</li> <li>Разработка новых моделей и внедрение их в основную производственную линейку</li> <li>Разработка конструкции жесткого и мягкого каркаса</li> <li>Оптимизация производственных процессов</li> <li>Контроль за качеством изготавливаемых заказов</li> <li>Повышение производительности труда</li> </ul> <p> </p> <p>Условия работы:</p> <ul> <li>Постоянную работу;</li> <li>График работы 5/2 с 08:00 до 17:00, суббота и воскресенье выходные.;</li> <li>Комфортные условия труда;</li> <li>Оформление в соответствии с ТК КР;</li> <li>Своевременную выплату з/п от 50000 сом;</li> <li>Профессиональный и доброжелательный коллектив;</li> <li>Возможность профессионального и карьерного роста;</li> </ul> <p><strong>Если хочешь стать частью нашей команды оставляй отклик прямо сейчас!</strong></p>",Строительство,"Строительство, недвижимость",Полный день,Более 6 лет
Маркетолог,Бишкек,ОсОО Мастер Краска,50000,,KGS,"<strong>Обязанности:</strong> <ul> <li>Разработка стратегии коммуникации с клиентами;</li> <li>Разработка маркетинговой стратегии компании, рекламных материалов;</li> <li>Позиционирование компании;</li> <li>Коммуникабельность, способность устанавливать деловые контакты, умение работать самостоятельно и в команде;</li> </ul> <strong>Требования:</strong> <ul> <li>Знания в области ценообразования, продаж, рекламы и разработки стратегии продвижения товаров и услуг, маркетинговых исследований;</li> <li>Высшее образование в области маркетинга, менеджмента, бизнес-планирования;</li> </ul> <strong>Условия:</strong> <ul> <li>График обсуждается при собеседовании</li> <li>Работа в комфортабельном офисе в самом центре города</li> <li>Своевременная оплата труда (без задержек)</li> <li>Обед за счет компании.</li> </ul> <p> </p> <p> </p>",Печатная реклама,"Маркетинг, реклама, PR",Полный день,От 1 года до 3 лет
